,Title,Tags,Related,Page1
10,Contact Tracing: Rapid Operational Response to COVID-19 Tracing in Arkansas,,,"DIGITAL MODERNIZATION Contact Tracing: Rapid Operational Response to COVID-19 Tracing in Arkansas As COVID-19 cases began to rise in Arkansas this July, GDIT rapidly responded by deploying a statewide Contact Tracing System for the Arkansas Department of Health. This system was operational within one week of contract award, ensuring the state could respond quickly to rises in coronavirus cases. GDIT is managing and overseeing the contact tracing program, set up the operations– the systems, the training, and more – as well as quickly hiring more than 350 people to support it, including: • Registered Nurses (RNs), who conduct case investigations on the front lines • Contact tracers who would help exposed contacts understand the importance of quarantine and enrolling them in a monitoring program Gathering critical information for effective contact tracing When a person tests positive COVID-19 test, it’s important to reach them quickly to conduct an effective assessment of their recent contacts and monitor their wellbeing. In these cases, efficiency and empathy are key—the people the team reaches are don’t feel well and are likely anxious about this novel virus. “This is critical work during unprecedented time for the state of Arkansas and for our country,” said Scott Mack, Vice President and General Manager for GDIT’s State and Local Sector. “The GDIT team provided an innovative solution and operations team that responded to the client’s ever changing environment. They understand the importance of the mission and have worked tirelessly to deliver on our commitments to our client and the citizens they serve.” As of November 28, 2020, the GDIT team has been assigned 35,654 cases, generating over 84,794 contacts and completing"
11,"HPC Upgrade Enables Advanced, Faster Coronavirus Research at NIH",,,"HIGH-PERFORMANCE COMPUTING HPC Upgrade Enables Advanced, Faster Coronavirus Research at NIH The National Institute of Health’s premier supercomputer, Biowulf, is the largest supercomputer in the world dedicated to biomedical research and life sciences. Today, the agency is using it to address the planet’s most urgent public health challenge: How do we beat coronavirus? Expansion delivers powerhouse HPC system GDIT began upgrading the Biowulf system four years ago, transforming the system to be ranked  #67 top supercomputer in the world in 2017 .  Our modernization and expansion efforts include the addition of 100,000 compute cores - delivering more than two thousand trillion operations per second - and 35 petabytes of online storage.  In 2018 alone , Biowulf ran more than 34 million jobs and delivered more than 1 billion CPU hours for the scientific research community. Today, Biowulf is used by more than 3,000 researchers – including nearly half of the agency’s principal investigators – and has been cited in over 2,500 research publications and supports more than 600 scientific applications and tools. GDIT’s successful architecture, design and deployment of four expansion phases delivered a powerhouse system ready to meet the demands of today’s pandemic research. Biowulf speeds research on COVID-19"
12,Enterprise Service Desk Provides Critical IT Support to Veterans Affairs,,,"MANAGED SERVICES Enterprise Service Desk Provides Critical IT Support to Veterans Affairs Every day, more than 500 GDIT employees answer the call for the Department of Veterans Affairs (VA), providing on-demand, 24/7/365 IT support to more than 500,000 VA personnel and contractors nationwide.  Since 2018, GDIT has provided essential technical and Enterprise Service Desk (ESD) tier 1 support and continuous access to systems and records to front-line doctors and nurses, claims, benefits and memorial staff, and other professionals and contractors serving America’s veterans. The VA’s Journey to a Managed Service The VA ESD receives an average of more than 55,000 calls per week. Making sure those calls are appropriately routed and resolved quickly and efficiently is key. To do it, GDIT consolidated 12 VA service desk facilities down to a Single Point of Contact (SPOC) ESD model, co-located between two Integrated Technology Centers (ITCs) in Barbourville, Kentucky, and Bossier City, Louisiana."
13,Shared Services Builds a More Efficient NASA and Stronger Space Program,,,"DIGITAL MODERNIZATION Shared Services Builds a More Efficient NASA and Stronger Space Program More than a 15 years ago, NASA sought a partner to help consolidate its back-office operations. The agency wanted to drive efficiency and reduce costs, further enabling its mission of advancing science, technology, aeronautics and space exploration for the benefit of humankind. Uniting mission understanding and technology expertise to establish the NASA Shared Services Center GDIT brought the right understanding of the mission and technology expertise to consolidate NASA’s human resources, procurement, finance, information technology and business services into one Shared Services Center. While there was familiarity and support for the shared services model internally, the agency had never embarked on this type of a project before."
14,Supercomputing Facility Saves Energy Costs for NASA,,,"HIGH-PERFORMANCE COMPUTING Supercomputing Facility Saves Energy Costs for NASA At its high-performance computing facility in Silicon Valley, NASA’s Ames Research Center provides world-class processing capabilities that enable researchers to improve air transportation, study the earth’s interconnected systems and explore the moon and Mars.  To house its most powerful supercomputers, GDIT helped the agency design an innovative approach to implement one of the most energy-efficient computing facilities in the world. Challenge: Take computing performance to a higher level."
15,"When Irma Hit, We Hit Back",,,"LOGISTICS AND SUPPLY CHAIN When Irma Hit, We Hit Back In 2017, large parts of the United States and the Caribbean were devastated by several severe storms. Hurricane Irma was one of them. Thousands of citizens were displaced in its wake. With nowhere to go and without food, clothing, or medical supplies. When the Category 5 hurricane made landfall on Friday, September 8, the U.S. Embassy in Cuba was directly in its path. Project Havana: A story of logistics and supply-chain success. The government responded immediately. With materials and equipment desperately needed to restore both critical security and basic services, they turned to GDIT. We helped ship nearly 85 metric tons of supplies, including coordinating the production and delivery of critical toolkits for Security Engineering Officers. At the same time equipment requisitions were being processed, our designated project leads began staging and allocating the materials already available. We chartered multiple flights and processed more than 1,500 crates. Hurricane Irma was the first Category 5 hurricane to hit Cuba’s shores in more than 80 years. Fortunately, our coordinate efforts with multiple government agencies was crucial in ensuring the response effort was a success."
16,Providing Secure Healthcare for 9/11 Survivors and First Responders,,,"DIGITAL MODERNIZATION Providing Secure Healthcare for 9/11 Survivors and First Responders Nearly two decades after the terrorist attacks on 9/11, survivors, first responders, recovery workers, and their families continue to face health impacts from that day. But those whose health was harmed by the tragedy aren’t alone. The Centers for Disease Control and Prevention’s World Trade Center Health Program (WTCHP) provides them with monitoring and treatment for serious conditions, such as respiratory disease caused by toxic dust at ground zero, cancer, and mental health. It takes a focused team to make this life-changing support possible — and GDIT is there to provide the reliable claims processing that ensures WTCHP enrollees receive the healthcare they need. Challenge: Robust and safe IT system for superior care. WTCHP  needed a dependable IT solution to enroll, process claims, and reimburse health costs. But with hackers using malware"
17,Keeping Patient Data Healthy,,,"DATA ANALYTICS Keeping Patient Data Healthy Built, developed, secured, and maintained by GDIT, the Chronic Condition Warehouse (CCW) is one of the largest sources of health information in the world. Comprised of billions of rows of data, the CCW is an invaluable asset to healthcare research and analysis. Research, powered by deep analytics. At the heart of the Chronic Condition Warehouse is the VRDC: Virtual Research Data Center. The VRDC provides powerful analytic tools and allows authorized contractors and researchers to access and analyze the healthcare data virtually and securely. Integrating seamlessly with CMS’s own website, the service allows users to quickly assess their cohorts. Improving workflow, reducing costs, deepening insights."
18,The supply chain that drives the Department of State,,,"LOGISTICS AND SUPPLY CHAIN The supply chain that drives the Department of State. Wherever diplomatic security missions go, we go. We provide complete supply-chain management for the Department of State’s crucial Bureau of Diplomatic Security. From advanced procurement to worldwide transportation and warehousing at over 350 facilities, our supply chain provides the speed, security, and transparency the Bureau requires to meet its ever-changing objectives. Even to high-threat posts, GDIT’s shipping is truly door-to-door, anywhere in the world.  We combine over 50 years of experience with the same agility of the private sector, offering custom solutions matched to the mission. It’s why we’re an award-winning Top-100 3PL provider and why consistently exceed our service level agreements. With millions of assets and pieces of equipment procured, packaged, and shipped yearly, it’s no wonder the government looks to GDIT."
19,VirtualShip Maritime Simulator,,,"TRAINING AND SIMULATION VirtualShip  Maritime Simulator The trusted maritime simulator by government, commercial, and foreign allied customers, VirtualShip  is an advanced virtual reality software package to help our clients meet all their training requirements. ® ® VirtualShip is ready to use out of the box or customizable to meet any specific client need. Fully loaded with over 300 virtual ships and 100 geographic settings, our simulation software is the go-to for maritime-environmental modeling, high-fidelity hydrodynamics, and a powerful API for seamless integration into numerous third-party systems: from flight and navigation to ship control, combat and firearms to cranes and machinery. VirtualShip is fully-scalable and backed by the support of over 800 experts in ship design, naval architecture, and marine engineering. From full-mission to part-task simulations, it’s no wonder agencies like the US Navy, Army, Coast Guard all look to VirtualShip to meet their critical training needs. Existing Clients • US Navy • US Coast Guard • US Army Transportation School • Royal Navy (UK) • Royal Netherlands Navy • Lockheed Martin • Massachusetts Maritime Academy"
20,Northern Louisiana's Technology Corridor: Paving the Way for Excellence,,,"INNOVATIVE TECHNOLOGY DELIVERY MODELS Northern Louisiana’s Technology Corridor: Paving the Way for Excellence In our ongoing effort to advance technology and address the growing threat of cybersecurity, we created the Integrated Technology Centers (ITCs)—taking our clients’ missions to the next level. To achieve this goal, GDIT leverages its technology capabilities with Louisiana’s workforce and economic development initiatives at the 3,500-acre National Cyber Research Park in Shreveport-Bossier City. With an eye squarely on high-tech innovation and research, the joint venture between GDIT and Louisiana would generate 800 jobs for technology professionals. Its success led to the opening of a second facility in Northwest Louisiana: the Customer Engagement Center. Within five years, we had created more than 1,000 jobs in Northern Louisiana and a highly skilled workforce, many of them veterans. Since its inception, GDIT has actively recruited top talent from nearby Barksdale Air Force Base—bringing the total of the ITCs’ former-military workforce to nearly thirty percent. Today, GDIT and the state of Louisiana are focused on the future: working with higher-education institutions like Louisiana Tech University, Bossier Parish Community College, Northwestern State University, Grambling State University, and Louisiana State University-Shreveport to align curricula with industry needs and meet client future demands. Together, we’re making sure students are job-ready upon graduation, and helping the state retain its best and brightest. Northern Louisiana’s Technology Corridor has established a strategic, state-of-the-art technology region where industry, academia, and government converge to collaborate and evolve technology. Not only do Louisiana and GDIT benefit, but the United States as a whole."
21,Modern CTO Podcast: How 5G Enables Innovation at the Edge,5G DIGITAL MODERNIZATION,"4 MIN READ 5G How 5G Is Changing the Game for Defense and Government Agencies 43 MIN WATCH 5G,  PARTNER ECOSYSTEM 5G Is Making Waves at Federal Agencies 4 MIN READ 5G Unlocking the Benefits of 5G and Beyond 4 MIN READ ARTIFICIAL INTELLIGENCE,  5G 5G Enables AI at the Edge","Rob Smallwood, GDIT VP of Digital Modernization, joined the modernCTO podcast to discuss how 5G is enabling innovation at the edge to support critical government missions, from defense to health to emergency response. He also discusses how he got started, his love for technology, and the ways to make remote team collaboration work better. Listen to the full podcast to hear more about how GDIT has been proactive with customers on the value of 5G, how to develop talent to meet modernization goals, and how to bring curiosity and humility to senior roles. “ If you can build intelligence into the application that’s running at the edge, it greatly improves what you’re trying to accomplish [for the mission]. ” Rob Smallwood Rob Smallwood Vice President, Digital Modernization"
22,Realizing the Promise of 5G,"ARTIFICIAL INTELLIGENCE DEFENSE 5G ZERO TRUST  By   Rob Smallwood Rob Smallwood Vice President, Digital Modernization","3 MIN READ ARTIFICIAL INTELLIGENCE,  DATA AND ANALYTICS,  HOMELAND SECURITY, … INTELLIGENCE Applying Geospatial Intelligence and AI/ML to the Climate Change Challenge 3 MIN READ ARTIFICIAL INTELLIGENCE,  APPLICATION SERVICES Will Generative AI Solutions Be Good Partners for Paired Programming? 4 MIN READ ARTIFICIAL INTELLIGENCE ChatGPT: What It Is, What It Does … and What It Doesn’t 5 MIN READ ARTIFICIAL INTELLIGENCE,  HEALTH,  CYBER,  QUANTUM Quantum Computing: What Agencies Need to Know","When people hear “5G” they typically think of their phones, but there’s a whole world of private 5G use cases across the federal government.  As examples, the Department of Veterans Affairs is using 5G to access and examine MRI images and then is using them to perform safer surgeries.  5G is also foundational to achieving the goals of Joint All-Domain Command and Control (JADC2)  with its focus of gathering all edge sensor information and connecting all warfighters across all commands and across all services. Further, artificial intelligence and analytics can analyze data from devices like these and others at the edge. Given the prevalence of 5G use cases –  and its immense potential for the federal government as a whole  – GDIT has focused intently on a holistic 5G strategy the includes policies, standards, and spectrum management guidelines that enable us to not only harness 5G’s potential for customers, but to look ahead to 6G and beyond. We identify the right solutions based on an understanding of the customer’s OUR CAPABILITIES OUR CAPABILITIES Learn more about GDIT’s 5G capabilities. LEARN MORE"
23,Data Driven Diplomacy,CIVIL DATA AND ANALYTICS,"43 MIN LISTEN CIVIL,  ENVIRONMENT How Technology is Enabling Climate Change Initiatives How Technology is Enabling Climate Change Initiatives EVENT CIVIL,  LOGISTICS AND SUPPLY CHAIN MANAGEMENT Supply Chain Across Borders 3 MIN READ CIVIL Modernizing Government Approaches to Global Citizen Services 3 MIN READ ARTIFICIAL INTELLIGENCE,  CIVIL,  EMERGING TECHNOLOGY Conversational AI Drives Value and Engagement","November 2nd, 2022 12 to 1 p.m. EDT Washington, DC In-Person Panel Discussion & Networking Event Explore how technology and data are transforming and enhancing our approach to diplomacy. In this compelling one-hour panel discussion, followed by a networking event, experts from across academia, government, and industry will discuss the impact of data- driven strategies on high-priority, high-visibility mission and management topics. Join us on  Wednesday, November 2nd Wednesday, November 2nd  to hear from: Laura Williams Laura Williams , Director Of Analytics, Center for Analytics, U.S. Department of State Carol Kuntz Carol Kuntz , Professorial Lecturer, Policy Implications of Artificial Intelligence, George Washington University and Georgetown University Technology and Diplomacy Technology and Diplomacy Panel Series Panel Series Data Driven Diplomacy"
24,Unlocking the Benefits of 5G and Beyond,5G  By   Michael Zurat Michael Zurat Senior Solutions Architect,"4 MIN READ 5G How 5G Is Changing the Game for Defense and Government Agencies 43 MIN WATCH 5G,  PARTNER ECOSYSTEM 5G Is Making Waves at Federal Agencies 38 MIN LISTEN 5G,  DIGITAL MODERNIZATION Modern CTO Podcast: How 5G Enables Innovation at the Edge 4 MIN READ ARTIFICIAL INTELLIGENCE,  5G 5G Enables AI at the Edge","5G technology  has the potential to be transformative for businesses and consumers, as well as for the U.S. government. 5G can provide the enabling connectivity  to drive digital transformation  from a paperless digital IRS, to enabling the Postal Service to outperform Amazon, to providing zero latency situational awareness to our first responders and warfighters at the point of need. The Department of Defense understands that leveraging both purpose-built private 5G (P5G) and operating over commercial wireless networks managed by mobile network operators (MNOs) in support of their mission is critical to keep pace and provide our warfighters with technical superiority on the battlefield. This is  evidenced by recent new projects as part of its  Innovate Beyond 5G  program  and OUR CAPABILITIES OUR CAPABILITIES Learn more about our 5G portfolio, including our 5G Emerge Lab. LEARN MORE"
25,Ransomware: Six Realities That Should Inform Every Agency’s Response & Resilience Strategy,"CYBER INTELLIGENCE  By   Matt Hayden Matt Hayden Vice President, Cyber Client Engagement, GDIT","51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ CYBER,  INTELLIGENCE,  HOMELAND SECURITY Maximizing the Defender’s Advantage: Five Steps Cyber Leaders Can Take Today 3 MIN READ CYBER Navigating the National Cyber Strategy: Five Key Takeaways for Agencies 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level","OUR CAPABILITIES OUR CAPABILITIES Learn more about how GDIT helps our clients do exactly that, starting with building custom Zero Trust cybersecurity strategies. CYBER"
26,Partnerships Driving Next Cybersecurity Chapter - Observations from The Billington Cybersecurity Conference,"CYBER HOMELAND SECURITY INTELLIGENCE ZERO TRUST  By   Matt Hayden Matt Hayden Vice President, Cyber Client Engagement, GDIT","51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ CYBER,  INTELLIGENCE,  HOMELAND SECURITY Maximizing the Defender’s Advantage: Five Steps Cyber Leaders Can Take Today 3 MIN READ CYBER Navigating the National Cyber Strategy: Five Key Takeaways for Agencies 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level","Every year for the last 13, the Billington Cybersecurity Summit has convened cybersecurity leaders from around the globe to discuss the latest trends, approaches, and technologies that are shaping the landscape of this dynamic and essential industry. This year’s event included an intentional and important focus on partnerships given world events, the proliferation of new and ever more sophisticated OUR CAPABILITIES OUR CAPABILITIES Learn more about GDIT’s cybersecurity work. CYBER"
27,Geospatial Data Cleaning: Five Challenges & Five Solutions,"DATA AND ANALYTICS INTELLIGENCE HOMELAND SECURITY  By   Eric Adams Eric Adams Geospatial Functional Lead, GDIT","3 MIN READ ARTIFICIAL INTELLIGENCE,  DATA AND ANALYTICS,  HOMELAND SECURITY, … INTELLIGENCE Applying Geospatial Intelligence and AI/ML to the Climate Change Challenge EVENT CIVIL,  DATA AND ANALYTICS Data Driven Diplomacy 3 MIN READ DATA AND ANALYTICS,  INTELLIGENCE,  HOMELAND SECURITY Partnering with Academia to Build Geospatial Talent 31 MIN LISTEN CIVIL,  DATA AND ANALYTICS,  ENVIRONMENT,  HIGH-PERFORMANCE COMPUTING Tackling Climate Change at Scale: A Conversation With the Department of Energy CIO","Anyone who’s ever worked with data will tell you that data isn’t perfect. As a career-long geospatial professional, most recently as a Geospatial Functional Expert with GDIT and with a career as a former U.S. Geospatial Engineer, I concur. Clean data is consistent, relevant, valid, recent, uniform, and complete … and rare. OUR CAPABILITIES OUR CAPABILITIES Learn more about GDIT's analytical work, including our geospatial portfolio. DATA AND ANALYTICS"
28,Partnering with Academia to Build Geospatial Talent,"DATA AND ANALYTICS INTELLIGENCE HOMELAND SECURITY  By   Eric Adams Eric Adams Geospatial Functional Lead, GDIT","3 MIN READ ARTIFICIAL INTELLIGENCE,  DATA AND ANALYTICS,  HOMELAND SECURITY, … INTELLIGENCE Applying Geospatial Intelligence and AI/ML to the Climate Change Challenge EVENT CIVIL,  DATA AND ANALYTICS Data Driven Diplomacy 3 MIN READ DATA AND ANALYTICS,  INTELLIGENCE,  HOMELAND SECURITY Geospatial Data Cleaning: Five Challenges & Five Solutions 31 MIN LISTEN CIVIL,  DATA AND ANALYTICS,  ENVIRONMENT,  HIGH-PERFORMANCE COMPUTING Tackling Climate Change at Scale: A Conversation With the Department of Energy CIO","Having spent more than 20 years in the geospatial community, most recently as a Geospatial Functional Expert at GDIT and a career as a former U.S. Geospatial Engineer, I understand the role that geospatial analysis plays in securing our national interests both at home and abroad. I was exceptionally pleased to represent GDIT and our partners to help contribute to the continued growth of the geospatial talent pool in St. Louis. OUR CAPABILITIES OUR CAPABILITIES Learn more about the active role GDIT is playing in the geospatial community in St. Louis. LEARN MORE"
29,Force Multiply Cybersecurity Through Autonomy,"ARTIFICIAL INTELLIGENCE CYBER ZERO TRUST  By   Dr. Matthew McFadden Dr. Matthew McFadden Vice President, Cyber & Distinguished Technologist","3 MIN READ ARTIFICIAL INTELLIGENCE,  DATA AND ANALYTICS,  HOMELAND SECURITY, … INTELLIGENCE Applying Geospatial Intelligence and AI/ML to the Climate Change Challenge 3 MIN READ ARTIFICIAL INTELLIGENCE,  APPLICATION SERVICES Will Generative AI Solutions Be Good Partners for Paired Programming? 4 MIN READ ARTIFICIAL INTELLIGENCE ChatGPT: What It Is, What It Does … and What It Doesn’t 5 MIN READ ARTIFICIAL INTELLIGENCE,  HEALTH,  CYBER,  QUANTUM Quantum Computing: What Agencies Need to Know","Cyber threats are roadblocks for agencies in everyday operations. Recent vulnerabilities such as Log4J show how easy it is for hackers to exploit systems and create a full-blown cybersecurity crisis.  Following the Log4J exploit, organizations everywhere remediated hundreds of thousands of vulnerable internet-connected assets on their networks. With cyberattacks becoming increasingly sophisticated, integrating solutions such as autonomous cyber defense capabilities into cybersecurity practices are critical to mitigate these threats, secure data, and prevent future cyberattacks. Agencies must determine how they can detect a significant vulnerability and remediate in near-real time across an extremely large IT environment as quickly as possible. This is where autonomous cyber is a force multiplier. OUR CAPABILITIES OUR CAPABILITIES Learn more about GDIT’s cybersecurity work. CYBER"
